Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt
2,R2C6 Tinker,25,266,0,1,1,0,0,2,1,1,1,1,1,1,30,41326,0,2
2,62231 (C3),7,266,0,2,1,2,7,2,1,1,1,1,1,1,30,41326,0,1
1,D190(120512),21,307,0,2,1,2,0,2,1,1,1,1,1,1,50,41326,0,3
1,P28(250616),9,307,0,1,7,0,0,2,1,1,1,1,1,1,110,41326,0,1
2,R2C1 Pop,8,266,0,2,6,0,0,1,1,1,1,1,1,1,50,41326,0,3
2,,24,292,0,2,2,7,0,1,1,3,3,3,1,1,0,41326,0,1
2,C4 Sydney,5,266,0,2,6,0,0,1,1,1,1,1,1,1,50,41326,0,3
1,Old: Tag 56,4,307,0,2,1,2,0,2,1,3,3,3,1,1,0,41326,0,3
2,RIC5 Ringo,14,265,0,2,1,2,3,2,2,1,1,1,1,1,30,41326,0,2
1,Old: Tag 128,12,307,0,1,2,0,0,2,1,1,1,1,1,1,0,41326,0,4
1,Old: Tag 124 -,12,152,0,2,2,0,0,1,1,3,3,3,1,1,0,41326,0,2
1,Old: Tag 49 -  - 200903,12,75,307,2,2,0,0,1,1,1,1,1,1,1,0,41326,0,4
1,Old: Tag 74 -  - 200903,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,4
2,R2C1 Tomlin,29,266,0,1,5,7,0,2,1,1,1,1,1,1,30,41326,0,2
1,C133 ( 011212),18,307,0,1,1,7,0,3,1,1,1,1,1,1,50,41326,0,3
2,Room 7 Cat,28,266,0,2,1,3,7,2,1,1,1,1,1,1,0,41326,0,1
1,D102(280815),24,307,0,1,2,7,0,2,1,1,1,1,1,1,80,41326,0,2
2,,7,299,0,1,1,6,0,1,1,3,3,3,1,1,0,41326,0,1
1,D32 (281114),42,307,0,2,1,7,0,2,1,1,1,1,1,1,0,41326,0,1
1,Old: Tag 123,12,307,0,2,1,7,0,2,1,1,1,1,1,1,0,41326,0,2
1,D251(140516),27,307,218,2,7,0,0,2,2,1,1,1,1,1,180,41326,0,1
1,D217 (260113),27,213,307,2,7,0,0,1,2,1,1,1,1,1,150,41326,0,4
1,Old: Tag 175,12,307,0,1,1,2,0,2,1,1,1,1,1,1,0,41326,0,3
1,D88(220912),33,205,0,1,7,0,0,1,3,1,1,1,1,1,300,41326,0,2
2,R2C4 Alfi,25,266,0,1,6,0,0,2,1,1,1,1,1,1,30,41326,0,2
2,R2C2 Nigella,33,266,0,2,1,0,0,2,1,1,1,1,1,1,30,41326,0,2
2,010316 (C4),17,266,0,2,1,7,0,1,1,1,1,1,1,1,60,41326,0,1
1,D171 (041211),19,307,0,2,1,7,0,2,1,1,1,1,1,1,50,41326,0,3
1,,2,307,0,1,2,0,0,2,1,1,3,3,1,1,0,41326,0,1
1,Old: Tag 2,12,307,0,1,2,7,0,2,1,1,1,1,1,1,0,41326,0,1
2,R2C2 Sunrise,42,265,0,2,1,2,7,2,2,1,1,1,1,1,50,41326,0,2
1,D231(201215),32,307,0,2,1,7,0,2,1,1,1,1,1,1,80,41326,0,1
1,D58(271112),14,307,0,2,1,2,0,3,1,1,1,1,1,1,50,41326,0,3
2,R1C4 Celine,31,266,0,2,1,5,7,2,1,1,1,1,1,1,30,41326,0,2
1,D58(160516),33,307,0,2,2,7,0,2,1,1,1,1,1,1,80,41326,0,1
1,P79 (220313),5,307,0,2,2,5,0,1,1,1,1,1,1,1,80,41326,0,1
2,R2C2 Shake,8,266,0,2,6,0,0,1,1,1,1,1,1,1,50,41326,0,2
1,Old: Tag 124,14,218,307,1,1,2,7,2,2,3,3,3,1,1,0,41326,0,4
1,D28(230711),64,307,0,1,2,0,0,3,1,1,1,1,1,1,50,41326,0,3
1,Old: Tag 102 (Sherri),24,307,0,2,2,0,0,1,2,3,3,3,1,1,0,41326,0,3
2,C4 Tigress,5,266,0,2,6,0,0,1,1,1,1,1,1,1,50,41326,0,3
1,Old: Labrador,8,141,0,2,5,0,0,3,1,3,3,3,1,1,600,41326,0,6
2,C4 Scout,6,266,0,2,6,7,0,1,1,1,1,1,1,1,50,41326,0,3
1,,12,307,0,2,2,0,0,3,1,3,3,3,1,1,0,41326,0,1
2,62647 (C2),14,266,0,2,1,7,0,2,1,1,1,1,1,1,30,41326,0,1
1,D119 (220815),5,307,0,2,1,7,0,2,1,1,1,1,1,1,80,41326,0,1
1,D102(260114),15,205,0,2,1,7,0,1,2,1,1,1,1,1,300,41326,0,1
1,Old: Tag 47 -  - 200903,12,307,0,1,1,2,0,2,1,1,1,1,1,1,0,41326,0,3
2,R2C4 Antsy,6,266,0,1,6,0,0,1,1,1,1,1,1,1,30,41326,0,2
2,C1(1) Lucy,12,266,0,2,1,6,0,2,1,1,1,1,1,1,30,41326,0,1
1,D97(121013),30,307,0,1,2,5,0,2,1,1,1,1,1,1,50,41326,0,1
2,C4 Betty,8,266,0,2,4,6,0,1,1,1,1,1,1,1,50,41326,0,3
1,D109(250513),16,307,0,1,1,5,7,2,1,1,1,1,1,1,50,41326,0,1
2,62231 (C1:R7),9,266,0,2,2,6,7,2,1,1,1,1,1,1,50,41326,0,1
2,R2C7 Fizzer,30,266,0,1,1,7,0,2,1,1,1,1,1,1,30,41326,0,3
2,62483 (C3),13,266,0,2,1,6,0,2,1,1,1,1,1,1,30,41326,0,1
1,Old: Tag 95,10,206,307,2,1,7,0,2,1,3,3,3,1,1,0,41326,0,4
2,C4 Rusty,5,266,0,1,6,0,0,1,1,1,1,1,1,1,50,41326,0,3
2,R1C4 Bunny,14,266,0,2,2,5,0,2,1,1,1,1,1,1,30,41326,0,2
1,D79(021211),27,307,0,2,2,7,0,2,1,1,1,1,1,1,50,41326,0,2
2,62563 (C3),26,266,0,1,3,4,7,2,1,1,1,1,1,1,30,41326,0,1
2,R2C1 Mango,29,266,0,2,1,2,0,2,1,1,1,1,1,1,30,41326,0,2
2,65157 (C4),13,266,0,2,1,6,0,1,1,1,1,1,1,1,60,41326,0,1
1,Old: Tag 194,12,307,0,1,2,0,0,2,1,1,1,1,1,1,0,41326,0,3
1,Old: Tag 35 -  - 200903,12,307,0,2,1,7,0,2,1,1,1,1,1,1,0,41326,0,3
1,Old: Tag 147,24,307,0,2,1,2,7,3,1,3,3,3,1,1,0,41326,0,3
2,64823 (C4),14,266,0,2,4,0,0,1,1,1,1,1,1,1,60,41326,0,1
1,D55(051213),39,307,0,2,1,2,0,2,2,1,1,1,1,1,50,41326,0,1
1,Old: Tag 26 -  - 200903,12,213,0,1,7,0,0,2,2,1,1,1,1,1,0,41326,0,5
1,D140(070213),38,213,307,2,5,0,0,2,1,1,1,1,1,1,150,41326,0,3
1,P9(170413),6,307,0,2,2,0,0,1,1,1,1,1,1,1,80,41326,0,3
1,Old: Tag 60,36,218,0,2,6,7,0,2,3,3,3,3,1,1,0,41326,0,3
1,D185 (140313),24,307,0,1,2,0,0,2,1,1,1,1,1,1,50,41326,0,4
2,,12,266,0,2,7,0,0,1,1,3,3,3,1,1,0,41326,0,1
2,64500 (C4),16,266,285,2,4,0,0,1,3,1,1,1,1,1,180,41326,0,1
1,D148(050213),33,76,307,1,1,7,0,3,1,1,1,1,1,1,150,41326,0,3
2,C3 Happy,24,266,0,2,4,7,0,2,1,1,1,1,1,1,30,41326,0,1
1,D119(070915),8,307,0,2,1,2,0,2,1,1,1,1,1,1,80,41326,0,1
1,Old: Tag 18,24,213,307,2,5,7,0,2,1,1,1,1,1,1,0,41326,0,4
2,R1C2 Silka,18,266,0,2,6,0,0,1,1,1,1,1,1,1,30,41326,0,3
1,D58(111113),28,205,0,2,1,7,0,1,2,1,1,1,1,1,300,41326,0,1
1,D21(040811),22,307,0,2,1,2,7,2,1,1,1,1,1,1,50,41326,0,2
1,Old: Tag D2 -  - 200903,12,307,0,1,7,0,0,2,1,1,1,1,1,1,0,41326,0,3
1,D223 (120212),37,307,0,2,2,0,0,2,2,1,1,1,1,1,50,41326,0,3
1,Old: Tag 87,12,307,0,1,1,0,0,2,1,1,1,1,1,1,0,41326,0,3
1,Old: Tag 110 -,48,307,0,2,1,0,0,1,2,3,3,3,1,1,0,41326,0,4
1,P11 (020313),7,307,0,2,2,7,0,2,1,1,1,1,1,1,80,41326,0,2
1,D65 (290614),23,307,0,2,1,3,0,2,1,1,1,1,1,1,0,41326,0,1
2,RIC5 Sam,18,266,0,1,3,4,0,1,1,1,1,1,1,1,30,41326,0,3
1,Old: Tag 70 -  - 200903,12,307,0,2,1,2,0,2,1,1,1,1,1,1,0,41326,0,4
2,64103 (C4),17,266,0,2,4,7,0,1,1,1,1,1,1,1,60,41326,0,2
2,C3 KELLY,68,266,0,2,7,0,0,2,2,1,1,1,1,1,30,41326,0,2
1,D101(070213),38,213,307,2,1,0,0,1,3,1,1,1,1,1,150,41326,0,3
2,Room 2 Cat,19,266,0,2,1,3,7,2,1,1,1,1,1,1,0,41326,0,1
1,Old: Tag 118,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,3
1,D88(081115),12,307,203,1,2,7,0,1,2,1,1,1,1,1,150,41326,0,1
1,D238 (260213),51,205,0,1,7,0,0,1,2,1,1,1,1,1,250,41326,0,1
1,Old: Tag 88,24,20,0,1,1,2,7,2,1,3,3,3,1,1,0,41326,0,4
1,D173 (130113),52,141,307,2,1,0,0,2,1,1,1,1,1,1,150,41326,0,3
2,C4 Vodka,8,266,0,1,1,7,0,1,1,1,1,1,1,1,50,41326,0,3
1,D45(070213),38,218,307,2,7,0,0,1,2,1,1,1,1,1,150,41326,0,3
1,,3,307,0,2,1,5,0,2,1,3,3,3,1,1,0,41326,0,3
1,Old: Tag 133,12,76,0,2,1,7,0,3,1,3,3,3,1,1,0,41326,0,3
1,D197 (080311),60,307,0,1,1,2,0,2,1,1,1,1,1,1,50,41326,0,2
2,RIC2 Tilly,34,265,0,2,3,0,0,3,2,1,1,1,1,1,30,41326,0,3
1,D135(260114),16,205,0,2,1,7,0,1,1,1,1,1,1,1,300,41326,0,1
2,R2C1 Soda,8,266,0,2,6,0,0,1,1,1,1,1,1,1,50,41326,0,2
1,D15(200216),54,307,218,1,2,7,0,2,2,1,1,1,1,1,180,41326,0,1
1,Old: Tag 121,12,307,0,1,1,0,0,2,1,1,1,1,1,1,0,41326,0,5
2,R2C1 Fajita,60,266,0,2,5,0,0,2,1,1,1,1,1,1,30,41326,0,2
1,Old: Tag 172,12,307,0,1,7,0,0,2,1,1,1,1,1,1,0,41326,0,4
1,Old: Tag 144,12,307,0,1,2,7,0,2,1,1,1,1,1,1,0,41326,0,2
2,C4 Splat,8,266,0,2,1,7,0,1,1,1,1,1,1,1,50,41326,0,3
1,Old: Tag 112,12,307,0,2,1,2,0,2,1,1,1,1,1,1,0,41326,0,5
1,Old: Tag 15 (Husky),24,307,0,2,1,5,7,2,2,3,3,1,1,1,0,41326,0,6
1,D207 (300711),57,307,0,2,2,7,0,2,1,1,1,1,1,1,50,41326,0,3
1,D209(300914),18,307,0,2,1,2,0,2,1,1,1,1,1,1,50,41326,0,1
1,Old: Shih Tzu,12,205,0,1,3,5,0,1,3,1,1,1,1,1,350,41326,0,4
1,Old: Tag 32 -  - 200903,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,2
1,Old: Tag 21,36,205,0,2,6,7,0,1,2,1,1,1,1,1,0,41326,0,4
2,,12,266,0,2,1,7,0,1,2,3,3,3,1,1,0,41326,0,1
1,Old: Tag 153,24,307,0,1,2,7,0,2,1,3,3,3,1,1,0,41326,0,1
1,Old: Tag 27 -  - 200903,12,307,0,1,1,0,0,2,1,1,1,1,1,1,0,41326,0,3
1,D47(061013),36,207,307,2,2,0,0,1,2,1,1,1,1,1,150,41326,0,1
2,030716 (C4),9,266,0,2,1,4,7,1,1,1,1,1,1,1,60,41326,0,1
2,C2 PEARL,41,266,0,2,2,0,0,1,1,1,1,1,1,1,30,41326,0,2
1,,4,307,0,3,1,2,7,2,1,2,2,2,1,2,0,41327,0,2
2,3 Kitties,0,266,0,3,1,6,7,2,1,2,2,2,1,3,0,41327,0,6
1,Mindy,72,103,0,2,1,2,5,3,2,1,1,2,1,1,0,41327,0,0
1,,24,307,0,2,1,2,7,2,1,1,1,1,1,1,0,41327,0,1
2,,6,266,0,2,2,5,6,1,1,2,2,2,2,1,0,41327,0,1
2,,5,285,0,3,1,6,7,2,3,1,1,2,1,2,0,41327,0,3
1,,2,307,0,3,1,2,7,2,1,2,2,2,1,6,0,41327,0,2
1,Apple,12,109,0,2,3,4,5,3,2,1,1,2,1,1,0,41327,0,3
2,,5,266,0,2,1,2,3,1,1,3,3,3,1,1,0,41327,0,1
1,Little Q,1,307,141,1,4,5,7,2,1,1,1,2,1,1,0,41327,0,1
1,,18,207,0,1,2,6,0,1,3,1,1,2,1,1,0,41327,0,2
1,,48,103,0,2,1,2,6,3,3,1,1,2,1,2,1500,41327,0,7
1,Dorkey,96,72,178,2,2,7,0,1,2,3,3,3,1,1,0,41327,0,1
1,Milo,24,15,0,1,2,0,0,2,1,1,1,2,1,1,400,41327,0,2
1,,2,307,0,2,1,2,7,2,1,2,2,2,1,1,0,41327,0,1
1,Henry,12,128,218,1,1,2,0,1,2,1,1,2,1,1,0,41327,0,3
1,Jojo,4,128,307,2,2,5,7,1,1,1,1,2,1,1,0,41327,0,3
2,,2,266,266,1,1,6,7,1,1,2,2,2,1,1,0,41327,0,4
2,Freddie & Ginger,2,266,0,3,1,2,7,1,1,1,1,2,1,2,0,41327,0,4
1,Sawyer,30,307,0,1,1,2,5,2,1,1,1,2,1,1,0,41327,0,1
1,,2,307,0,3,1,2,7,2,1,2,2,2,1,7,0,41327,0,15
1,,3,307,0,2,2,5,7,2,1,1,1,2,1,1,0,41327,0,1
2,Mummy Cat & 2 Kittens,2,266,0,3,1,6,7,2,1,2,1,2,1,3,0,41327,0,22
1,Sugar,6,307,307,2,2,0,0,2,1,1,1,1,1,1,0,41327,0,3
1,,2,187,307,3,2,4,5,2,1,1,1,2,1,4,0,41327,0,5
2,,5,266,0,1,1,2,7,2,1,2,1,2,1,1,0,41327,0,1
2,,12,254,285,2,1,2,4,1,2,3,3,3,1,1,0,41327,0,1
1,,2,307,307,2,1,2,4,2,1,2,1,2,1,3,0,41327,0,1
1,Paco,17,307,0,1,2,5,7,2,1,1,2,2,1,1,0,41327,0,4
1,Little Spring,2,307,0,1,1,2,7,2,1,3,3,2,1,1,0,41327,0,1
1,,2,307,0,1,1,2,5,2,2,2,2,2,1,1,0,41327,0,2
1,Jack,60,105,0,1,1,2,7,2,2,1,1,2,1,1,0,41327,0,2
2,Muffin,1,266,0,1,4,5,7,1,1,2,2,2,1,1,0,41327,0,4
1,,2,307,0,2,1,2,7,2,1,2,2,2,1,5,0,41327,0,9
1,Tessie,12,307,0,2,1,5,7,2,1,1,1,1,1,1,0,41327,0,1
1,,0,307,0,2,1,2,0,2,1,2,2,2,1,4,0,41327,0,8
2,Syren,18,266,0,1,6,0,0,1,1,1,1,1,1,1,0,41327,0,0
1,,18,307,307,2,2,5,7,1,1,3,3,2,1,1,0,41327,0,5
1,Sis & Coco,1,307,0,2,1,2,5,2,1,2,2,2,1,2,0,41327,0,5
1,John,24,15,307,1,2,5,0,2,1,1,1,1,1,1,0,41327,0,2
2,,2,266,0,1,5,6,7,1,1,2,1,2,1,1,0,41327,0,7
2,,6,266,0,2,1,2,7,2,1,1,1,2,1,1,0,41327,0,1
1,,4,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41327,0,1
1,,15,307,0,1,2,5,7,2,1,3,3,3,1,1,0,41327,0,1
1,,2,307,0,1,1,2,7,2,1,2,2,2,1,2,0,41327,0,1
1,,4,307,0,2,1,2,5,2,1,2,2,2,1,1,0,41327,0,2
1,,2,307,307,2,2,5,7,2,1,1,1,2,1,1,0,41327,0,0
2,Seven Kitties,2,266,0,3,1,2,7,1,1,2,2,2,1,7,0,41327,0,2
1,Money,7,179,0,1,2,0,0,1,1,1,1,2,1,1,0,41327,1,14
1,Goldie,36,307,0,2,2,0,0,2,1,1,1,3,1,1,0,41327,0,5
1,,18,307,103,1,1,2,0,3,1,1,1,2,1,1,0,41327,0,3
1,,48,76,0,1,1,7,0,3,1,3,3,3,1,1,0,41327,0,7
1,,0,307,0,3,1,2,0,2,1,2,2,2,1,4,0,41327,0,3
1,,6,307,0,1,2,7,0,2,1,1,1,3,2,1,0,41327,0,2
1,,3,307,0,2,1,5,7,2,1,3,3,2,1,1,0,41327,0,2
1,,24,307,20,3,1,2,7,2,1,2,2,2,1,2,0,41327,0,2
1,,3,128,307,3,2,5,7,1,2,1,1,2,1,4,350,41327,0,4
1,Juno,24,207,0,1,2,5,6,1,3,1,1,2,1,1,0,41327,0,0
1,,12,307,189,2,2,0,0,3,1,2,2,2,2,1,0,41327,0,4
2,,24,266,0,1,3,5,7,2,1,1,1,1,1,1,0,41327,0,3
1,,2,141,307,2,1,5,7,2,1,2,2,2,1,5,100,41327,0,5
2,,2,266,0,3,1,2,7,1,1,2,2,2,1,4,0,41327,0,4
1,,2,307,0,3,1,2,7,2,1,1,1,2,1,2,0,41327,0,4
2,,2,266,0,3,1,2,7,1,1,2,2,2,1,2,0,41327,0,1
1,Bailey & Kahlua,96,128,0,2,1,2,7,2,2,1,1,1,1,2,0,41327,0,0
2,,12,262,0,2,1,2,5,2,1,1,1,1,1,1,0,41327,0,0
1,,2,307,0,2,1,2,5,2,1,2,1,2,1,1,0,41327,0,2
2,,18,285,266,3,1,2,7,1,1,3,3,3,1,4,0,41327,0,0
1,,48,152,0,2,1,2,5,2,1,3,3,3,1,1,0,41327,0,2
1,,12,205,0,1,1,5,7,1,3,1,1,2,2,1,0,41327,0,3
1,Pup,17,109,0,2,3,5,0,2,2,1,1,2,1,1,0,41327,1,6
1,Knuckles,12,307,0,2,1,2,5,2,1,1,1,1,1,1,0,41327,0,1
2,,8,262,0,2,1,3,4,1,1,3,1,3,1,1,0,41327,0,1
2,Mimi,1,266,0,2,1,7,0,1,1,2,2,2,1,1,0,41327,0,3
1,,2,307,0,3,1,2,7,2,1,3,3,3,1,14,0,41327,0,23
2,Esther,1,266,0,2,1,7,0,2,1,2,1,2,1,1,0,41327,0,2
2,,18,292,0,1,2,5,7,2,1,1,1,1,1,1,0,41327,0,5
1,,2,307,0,3,1,2,7,2,1,2,2,2,1,2,0,41327,0,1
2,,2,265,0,3,1,2,7,1,2,1,1,2,1,4,0,41327,0,7
2,Cati,24,266,0,2,1,2,0,1,1,1,1,2,1,1,0,41327,0,0
1,,8,307,0,1,1,2,0,2,1,2,1,2,1,1,0,41327,0,3
1,,1,307,0,3,1,2,5,2,1,1,1,2,1,6,10,41327,0,4
1,Blackie,12,307,0,1,1,6,7,2,1,1,1,2,1,1,0,41327,0,1
1,Taiping Pups Need A Home,2,307,0,3,1,2,7,2,1,2,2,2,1,5,0,41327,0,12
2,Mother Cat & Kittens,3,266,0,3,2,6,7,1,1,2,2,2,1,5,0,41327,0,7
1,,3,119,109,1,2,5,7,2,1,3,3,2,1,1,0,41327,0,7
1,,9,76,0,1,1,7,0,3,1,1,1,2,1,1,0,41327,0,0
2,,4,265,266,3,1,2,7,2,2,3,3,3,1,6,0,41327,0,10
2,,2,266,0,3,1,2,7,1,1,2,2,2,1,2,0,41327,0,11
2,,6,266,0,2,1,6,7,1,1,2,2,2,1,1,0,41327,0,1
1,,2,307,0,3,1,2,7,2,1,1,1,2,1,3,0,41327,0,4
2,,4,266,0,1,6,7,0,1,1,2,2,2,1,1,0,41327,0,4
2,,1,266,0,2,1,6,7,1,1,2,1,2,1,1,0,41327,0,2
1,,24,205,0,1,1,6,7,2,3,1,1,2,1,1,0,41327,0,0
1,Vern,48,103,0,1,1,0,0,3,1,1,1,1,1,1,300,41327,0,2
1,,1,307,0,1,2,7,0,2,1,2,1,2,1,1,0,41327,0,1
2,Edward,8,266,0,1,6,7,0,1,1,1,1,2,1,1,0,41327,0,0
1,Puppy,24,205,0,2,2,7,0,1,3,1,1,2,1,1,0,41327,0,0
2,,6,254,266,1,1,2,7,1,1,1,1,2,1,1,0,41327,0,1
1,,1,307,0,3,1,2,7,2,1,2,2,2,1,6,0,41327,0,5
1,,3,76,0,1,1,7,0,3,1,1,1,2,1,1,0,41327,0,0
1,,36,205,0,1,2,6,7,1,3,1,1,3,1,1,0,41327,0,0
1,Mike,24,109,307,1,5,0,0,2,2,1,1,1,1,1,0,41327,0,1
2,,7,285,299,2,1,2,6,2,2,2,2,2,1,1,0,41327,0,1
2,Luna,2,266,0,2,1,2,7,1,1,3,3,2,1,1,0,41327,0,1
2,,4,289,0,1,1,6,7,1,1,2,2,2,1,1,0,41327,0,0
1,,1,307,0,3,1,2,7,2,1,1,1,2,1,2,0,41327,0,2
1,Chubby 1,24,205,0,1,1,2,7,1,3,1,1,2,1,1,0,41327,0,1
1,Little B,2,307,0,2,1,2,5,2,1,1,1,2,1,1,0,41327,0,1
