,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,AdoptionSpeed
41,1,58,3,1,1,1,2,2,2,1,3,0,12,2
42,24,142,2,7,2,3,3,3,3,2,6,0,12,1
43,5,86,1,7,2,1,1,1,1,1,1,0,3,3
44,12,104,1,2,2,2,2,1,1,1,1,0,0,4
45,4,104,1,1,2,1,2,2,2,1,2,0,12,4
46,5,57,1,4,1,3,1,1,2,1,1,0,12,3
47,72,104,2,2,2,1,1,1,1,1,1,0,12,4
48,1,104,3,1,2,1,3,3,2,1,9,0,12,3
49,60,56,1,1,3,3,1,1,1,1,1,0,12,2
50,1,104,2,1,2,2,2,1,1,1,2,0,12,3
51,6,58,1,1,2,1,1,1,1,1,1,100,3,4
52,2,104,1,2,2,1,1,1,2,1,1,0,12,3
53,12,104,2,2,2,2,1,1,1,1,2,0,12,4
54,3,104,2,2,1,1,3,3,3,2,1,0,12,3
55,3,57,3,4,1,2,1,1,2,1,2,0,3,2
56,5,58,1,1,2,1,2,1,2,1,1,30,12,4
57,24,104,2,5,2,2,1,1,1,1,1,0,12,2
58,4,104,1,5,3,2,2,2,2,1,1,0,12,1
59,2,6,3,1,1,1,3,3,3,1,6,0,3,4
60,1,58,2,4,2,1,2,2,2,1,1,0,12,1
61,9,104,1,2,2,1,1,1,3,1,1,0,9,4
62,60,104,2,2,2,1,2,2,1,1,1,0,12,4
63,2,104,1,1,2,2,2,2,2,1,1,0,9,2
64,2,152,3,1,2,3,1,1,2,1,7,0,12,3
65,48,141,2,2,2,2,1,1,2,1,1,0,12,1
66,3,58,2,2,2,1,2,2,2,1,1,0,5,4
67,4,58,1,1,1,1,2,1,2,1,2,0,3,2
68,9,58,2,2,2,1,2,2,2,1,1,0,3,2
69,62,104,1,1,2,2,1,1,1,1,1,0,3,4
70,36,104,2,1,2,1,1,1,1,1,5,0,12,4
71,1,104,2,1,2,2,2,1,2,1,1,0,12,3
72,2,94,1,1,1,1,1,3,2,1,1,0,3,1
73,2,104,1,1,1,1,1,1,2,1,1,0,12,4
74,1,117,3,1,2,2,2,2,2,1,9,100,7,2
75,2,104,2,2,2,1,2,1,2,1,1,0,0,0
76,2,104,2,1,3,1,1,1,2,1,2,0,12,4
77,12,104,2,2,2,1,1,1,1,1,1,0,12,3
78,2,104,1,2,2,2,1,1,2,1,1,0,12,1
79,1,104,2,2,2,1,1,1,2,1,1,0,12,3
80,2,104,2,1,2,1,1,2,2,1,1,0,9,4
81,3,145,1,1,1,3,1,1,3,1,1,750,12,1
82,3,104,1,1,2,2,2,1,2,1,1,0,1,2
83,3,104,1,5,2,2,3,3,2,1,1,0,12,3
84,6,57,2,5,2,2,2,1,2,1,1,50,12,3
85,1,104,2,1,2,2,2,2,2,1,2,0,12,2
86,47,28,2,1,2,3,2,2,2,1,1,0,12,4
87,2,128,1,1,3,2,3,3,3,1,1,0,12,2
88,12,104,2,5,2,2,1,1,1,1,1,0,8,3
89,2,104,1,1,2,1,1,1,2,1,1,0,12,3
90,1,104,1,2,2,1,2,2,2,1,1,0,8,3
91,1,58,3,2,1,2,2,2,2,1,2,0,12,4
92,1,104,3,2,2,1,2,2,2,1,5,0,12,4
93,24,58,1,4,3,1,2,2,2,2,1,0,5,3
94,24,58,2,2,2,1,2,2,1,1,1,0,12,4
95,2,104,1,1,2,1,2,2,2,1,1,0,9,3
96,19,116,2,1,3,3,1,1,2,1,1,0,3,1
97,4,145,2,2,1,3,3,1,1,1,1,0,3,3
98,24,104,1,2,2,1,2,2,2,1,1,0,0,3
99,3,57,1,1,2,2,3,3,2,1,1,0,12,1
100,1,56,3,5,1,2,2,2,2,1,2,0,3,2
101,24,82,2,1,2,2,3,3,1,1,1,0,12,2
102,60,132,1,6,2,2,1,1,1,1,1,0,3,4
103,1,104,2,1,2,2,1,1,2,1,1,0,12,3
104,3,58,2,2,1,1,1,1,2,1,1,0,12,1
105,2,57,1,3,1,2,2,2,2,1,1,0,3,2
106,1,58,3,1,2,1,1,1,2,1,2,1,3,0
107,2,104,2,1,2,1,2,2,2,1,1,0,3,3
108,2,58,2,6,2,1,2,1,2,1,1,0,3,1
109,3,104,2,2,2,1,1,1,2,1,1,0,3,4
110,2,104,2,1,3,1,2,2,2,1,6,0,9,3
111,12,156,2,3,2,2,1,2,1,1,2,0,5,4
112,4,58,2,1,2,1,1,1,2,1,1,0,3,2
113,120,104,1,1,3,1,3,3,3,1,1,0,3,4
114,3,104,2,2,2,1,2,2,2,1,1,0,12,4
115,1,57,3,2,1,2,2,2,2,1,4,0,12,4
116,36,76,2,2,3,2,1,1,2,1,1,0,12,1
117,3,58,2,1,1,1,2,1,2,1,1,0,12,4
118,60,116,1,3,2,2,1,1,2,1,1,0,12,4
119,1,58,2,2,2,1,2,1,3,1,1,0,12,1
120,3,104,3,1,2,2,1,1,2,1,3,150,12,1
121,36,128,1,1,3,1,1,1,1,1,1,0,12,2
122,12,144,1,1,2,2,1,2,2,1,1,400,6,2
123,1,58,3,1,1,1,2,3,2,1,4,0,3,3
124,0,104,3,1,3,1,3,3,3,1,2,0,12,1
125,1,57,1,1,1,2,2,2,2,1,1,0,12,2
126,5,47,1,5,2,1,1,1,1,1,1,0,3,3
127,24,73,2,1,2,2,3,3,3,1,1,0,3,3
128,3,104,1,2,2,2,1,1,2,1,1,0,12,1
129,3,104,2,2,1,1,3,3,3,1,3,0,6,4
130,4,104,2,1,2,1,2,1,2,1,1,0,7,4
131,3,58,3,1,2,2,3,3,3,1,2,0,12,1
132,1,57,2,1,1,2,2,2,2,1,5,0,6,2
133,8,142,1,2,2,1,1,1,2,1,1,50,12,2
134,2,161,3,1,2,1,2,2,2,1,2,0,6,4
135,32,104,3,1,2,1,1,1,1,1,2,0,12,4
136,3,55,3,1,3,1,1,1,2,1,3,0,12,2
137,12,57,1,1,2,2,2,2,2,1,1,0,12,3
138,4,104,2,1,2,2,1,1,1,1,1,0,12,3
139,2,104,1,1,2,1,2,3,2,1,1,0,12,2
140,7,37,2,1,2,1,1,1,2,1,1,0,12,2
141,5,56,1,4,2,3,2,1,2,1,1,100,3,3
142,2,57,2,6,2,2,1,1,2,1,2,0,3,2
143,60,7,2,1,2,1,1,1,1,1,1,0,3,3
144,4,57,3,1,2,2,2,2,2,1,5,0,3,2
145,120,17,1,2,2,1,1,1,2,1,2,0,12,1
146,12,104,2,2,2,1,1,1,1,1,1,0,12,2
147,17,58,2,1,1,1,3,3,1,1,1,0,12,3
148,2,58,3,4,2,1,2,2,2,1,2,0,3,2
149,48,104,1,1,2,2,1,1,1,1,1,0,12,2
150,4,104,2,1,2,1,1,2,2,1,1,0,6,3
151,12,164,2,3,2,2,3,1,1,1,1,0,12,3
152,12,116,1,1,3,3,2,1,2,1,1,0,12,1
153,3,58,2,6,2,1,1,1,2,1,1,0,3,2
154,1,104,3,1,2,2,2,2,2,1,3,0,12,4
155,36,55,2,1,3,2,3,3,3,2,1,0,3,3
156,12,104,2,5,2,1,3,3,3,1,1,0,12,4
157,2,104,2,1,2,2,1,1,2,1,1,80,9,4
158,36,55,1,1,2,1,1,1,1,1,1,0,8,2
159,1,57,3,1,2,2,2,2,2,1,3,0,3,2
160,1,112,2,4,1,1,2,2,2,1,1,0,3,1
161,0,104,2,1,2,2,3,3,3,1,5,0,3,1
162,2,104,2,2,2,1,1,1,2,1,1,0,12,1
163,2,104,3,1,2,1,1,1,2,1,3,30,12,3
164,2,104,3,2,2,2,2,2,2,1,3,0,12,4
165,36,165,3,1,2,2,1,1,1,1,5,0,12,4
166,3,104,3,2,2,1,3,3,3,1,5,0,9,4
167,2,104,2,1,2,2,1,1,2,1,1,0,12,3
168,1,104,2,2,3,1,3,1,3,1,1,0,3,2
169,2,58,2,1,2,1,2,1,2,1,1,0,12,2
170,2,142,1,2,1,1,2,2,2,1,1,0,3,0
171,2,104,2,1,2,1,1,1,2,1,1,80,12,2
172,3,58,1,4,2,1,3,1,2,1,1,0,3,4
173,17,104,1,1,2,2,1,1,1,1,1,150,3,4
174,2,104,3,1,2,1,3,3,3,1,8,0,3,3
175,48,156,1,1,3,1,1,1,2,1,1,20,12,2
176,1,58,1,1,2,1,2,2,2,1,1,0,12,2
177,5,58,2,1,2,2,2,2,2,1,1,150,12,2
178,8,104,1,1,2,1,3,3,1,1,1,0,12,2
179,4,104,2,7,1,1,1,1,1,1,1,0,12,4
180,3,104,1,1,2,1,1,1,2,1,1,0,12,3
181,72,58,1,1,2,1,1,1,1,1,1,0,12,4
182,12,58,2,1,2,1,3,3,3,1,5,0,1,4
183,12,104,2,1,2,2,2,1,2,1,1,0,9,4
184,12,58,1,3,2,1,1,1,1,1,2,0,3,4
185,22,17,1,2,2,1,1,1,2,1,1,0,3,3
186,36,104,1,3,2,2,3,3,2,1,1,0,12,4
187,2,104,1,5,2,2,3,3,2,1,1,0,12,3
188,4,156,2,1,2,1,3,3,1,1,5,0,0,4
189,12,104,2,7,2,2,1,1,2,1,1,0,12,2
190,7,104,1,1,1,1,2,2,2,1,1,50,12,4
191,2,104,1,1,2,1,2,2,2,1,1,0,3,1
192,3,104,2,2,1,1,2,1,3,1,3,0,12,4
193,24,104,2,2,2,1,1,1,1,1,1,0,12,4
194,1,104,2,2,2,3,2,2,2,1,1,0,12,1
195,1,104,2,2,2,1,2,2,2,1,1,0,6,2
196,3,104,1,3,3,1,1,1,2,1,2,0,12,2
197,5,58,1,1,1,1,1,2,3,1,1,0,3,4
198,16,141,2,5,1,1,1,1,3,1,1,0,3,1
199,2,58,1,3,2,1,1,1,2,1,1,0,12,2
200,2,57,1,5,1,2,3,3,3,1,1,0,9,4
201,7,141,1,2,2,1,1,1,3,1,1,0,12,1
202,13,58,2,2,2,1,2,1,2,1,1,0,12,4
203,3,104,1,1,2,1,1,1,1,1,1,0,12,3
204,12,104,1,1,2,1,1,1,2,1,1,0,12,4
205,3,58,1,1,1,1,1,1,2,1,1,0,3,2
206,2,104,2,1,2,2,2,2,2,1,1,0,12,4
207,10,58,2,4,2,1,1,1,1,1,1,0,3,3
208,2,104,2,4,2,1,2,1,2,1,1,0,12,1
209,2,104,1,1,2,1,2,2,2,1,1,0,12,3
210,4,58,2,1,3,1,2,2,2,1,1,0,3,1
211,60,76,1,2,2,2,1,1,1,1,1,0,12,3
212,2,58,2,1,2,1,2,2,2,1,6,30,12,4
213,12,58,2,2,2,1,1,1,1,1,1,0,3,4
214,2,58,2,1,1,1,2,2,2,1,1,0,12,1
215,0,142,3,2,2,1,2,2,2,2,3,0,12,1
216,2,104,3,5,3,1,1,1,2,1,3,0,12,3
217,6,58,2,3,2,1,2,1,1,1,1,0,12,4
218,3,104,2,1,3,1,3,3,2,1,1,0,12,2
219,1,104,2,1,2,2,2,1,2,1,1,0,12,1
220,2,104,2,1,1,1,2,2,2,1,4,0,9,1
221,3,57,1,4,2,2,2,2,2,1,1,50,12,1
222,19,104,2,1,2,1,1,1,1,1,1,80,12,4
223,11,58,2,1,2,1,1,1,1,1,1,50,12,4
224,37,104,2,2,2,1,1,1,1,1,1,0,12,4
225,4,124,2,1,1,3,2,2,3,1,1,250,12,2
226,3,104,1,5,2,1,2,1,1,1,1,0,3,1
227,6,104,1,1,2,1,1,1,1,1,1,0,12,3
228,1,58,2,3,2,1,2,2,2,1,1,0,12,2
229,5,104,1,1,2,1,3,3,3,1,1,0,12,4
230,1,104,3,1,2,1,2,2,2,1,6,0,12,3
231,7,58,1,1,2,1,2,1,2,1,1,0,3,2
232,4,104,2,1,2,2,2,1,2,1,1,1,3,4
233,1,58,2,1,2,1,2,2,2,1,1,0,12,4
234,48,104,2,2,2,1,1,1,1,1,1,0,12,3
235,3,46,2,2,1,1,2,2,2,1,1,0,8,1
236,2,104,1,1,2,2,1,1,2,1,1,0,12,1
237,4,58,1,4,1,1,1,1,3,1,1,0,3,1
238,22,141,2,5,2,1,1,1,2,1,1,0,12,1
239,60,121,2,2,1,3,1,1,1,1,1,0,12,1
240,1,157,3,1,2,2,2,2,2,1,4,0,12,1
241,3,25,1,1,2,1,3,3,2,1,1,0,12,2
242,3,58,2,1,2,1,2,1,2,1,4,0,12,2
243,4,57,2,5,2,2,3,3,3,1,1,0,3,2
244,13,116,2,1,2,2,1,1,2,1,1,0,12,1
245,1,58,1,1,1,1,3,3,3,1,1,0,9,3
246,5,94,2,1,2,2,1,1,2,1,1,0,12,1
247,2,104,2,1,2,2,2,1,2,1,1,0,12,3
248,1,58,3,1,2,2,2,2,2,1,3,0,3,1
249,2,86,2,2,2,1,1,1,2,1,1,0,12,2
250,36,104,2,2,2,1,1,1,1,1,1,0,12,3
251,2,104,2,1,2,1,1,1,2,1,1,0,12,4
252,2,104,2,1,2,2,2,1,2,1,1,0,12,2
253,2,58,2,1,2,1,2,1,2,1,1,0,12,1
254,8,156,1,3,2,1,1,1,1,1,1,0,12,2
255,2,57,2,1,2,2,1,1,2,1,1,0,12,3
256,9,156,2,2,1,1,1,1,1,1,1,0,3,2
257,6,58,2,6,2,1,3,3,3,1,1,0,0,2
258,2,104,2,1,2,1,2,2,2,1,3,0,0,2
259,18,17,2,2,2,1,1,1,1,1,1,0,3,0
260,14,104,1,2,3,2,1,1,1,1,1,0,0,0
261,3,58,1,1,1,1,2,2,2,1,2,0,1,3
262,2,58,1,7,2,1,2,1,2,1,1,0,3,1
263,1,104,3,1,3,1,2,1,2,1,20,50,6,4
264,12,23,1,1,2,2,1,1,1,1,1,0,12,4
265,12,58,2,1,2,1,2,3,1,1,1,0,12,4
266,1,47,2,1,2,1,2,2,2,1,1,0,12,1
267,9,58,1,1,2,1,1,1,1,1,2,0,12,4
268,2,104,2,1,2,2,1,1,2,1,1,0,12,3
269,2,57,3,6,1,2,2,2,2,1,4,0,12,2
270,2,58,2,2,2,1,2,2,2,1,3,0,3,1
271,3,104,2,2,2,1,3,3,3,1,1,0,12,1
272,3,104,1,5,2,2,2,2,2,1,1,0,9,1
273,6,58,2,4,1,1,1,1,1,1,1,200,0,4
274,3,142,1,1,1,1,2,2,2,1,1,0,3,2
275,24,104,3,1,2,1,2,2,1,1,2,0,12,2
276,3,104,1,2,3,1,2,2,3,1,1,0,3,2
277,24,104,2,2,2,1,1,1,1,2,1,20,12,4
278,1,104,1,2,2,2,2,2,2,1,1,0,12,1
279,2,104,2,1,2,2,2,1,2,1,1,250,3,3
280,2,104,1,3,2,2,1,1,2,1,1,0,12,2
281,7,104,2,2,2,1,1,1,2,1,1,0,3,3
282,3,56,1,1,1,3,2,2,2,1,1,150,12,1
283,1,104,2,2,2,1,2,2,2,1,1,0,8,3
284,1,104,2,1,2,1,1,1,2,1,1,0,12,2
285,55,17,1,1,2,1,1,1,1,1,1,0,12,2
286,2,136,2,1,2,1,1,1,2,1,1,0,12,2
287,3,104,2,1,2,2,1,1,1,1,1,0,12,3
288,36,152,2,3,2,2,3,3,1,1,1,0,12,3
289,1,57,2,1,2,3,2,1,2,1,1,0,12,2
290,6,142,2,2,2,2,2,2,2,1,1,0,12,4
291,6,57,2,2,2,2,2,2,2,1,1,0,3,1
292,4,23,1,2,2,2,2,2,2,2,1,0,12,1
293,2,104,2,2,2,2,1,1,2,1,1,0,12,1
294,5,104,2,1,2,1,1,1,2,1,1,0,3,2
295,20,57,1,1,3,2,2,1,2,1,1,0,12,1
296,2,104,2,2,2,1,1,1,2,1,1,0,3,3
297,7,104,1,2,2,2,1,3,3,1,1,0,12,1
298,1,58,1,1,2,1,2,1,2,1,1,0,12,1
299,2,104,2,1,2,2,1,1,2,1,2,0,8,4
300,1,104,2,1,2,1,2,2,2,1,1,0,6,3
301,28,24,1,1,3,3,1,1,2,1,1,0,3,2
302,24,22,2,1,2,2,1,1,1,1,1,250,12,4
303,2,104,2,1,2,1,2,1,2,1,2,0,9,2
304,12,104,1,2,2,2,1,1,1,1,1,0,12,4
305,4,58,1,1,2,1,2,2,2,1,1,0,12,4
306,2,104,2,1,2,2,1,1,2,1,1,0,12,2
307,2,57,1,4,1,1,1,1,2,1,1,0,12,1
308,1,104,2,1,2,2,2,2,2,1,2,0,0,1
309,1,104,2,1,1,1,2,2,2,1,1,0,12,4
310,5,17,2,1,2,1,3,3,3,1,1,300,12,1
311,22,57,2,1,2,2,1,1,1,1,1,0,9,4
312,36,58,2,1,2,2,1,1,1,1,1,0,6,4
313,36,152,2,7,2,2,1,1,1,1,1,0,3,2
314,8,104,1,4,2,1,1,1,2,1,1,0,3,4
315,10,104,2,7,2,1,2,1,1,1,1,0,3,4
316,2,104,2,2,2,1,2,1,2,1,1,0,12,4
317,2,57,1,1,1,2,2,2,2,1,1,0,3,4
318,3,104,1,1,2,1,3,1,3,1,1,0,12,4
319,3,104,2,1,2,1,2,2,2,1,1,0,9,3
320,0,58,3,1,2,1,3,1,1,1,18,0,12,4
321,60,141,2,1,1,2,3,1,1,1,1,0,12,3
322,2,104,1,2,2,1,1,1,2,1,1,0,3,2
323,2,104,3,2,2,1,2,2,2,1,6,0,12,4
324,12,57,1,2,2,2,1,1,1,1,1,0,12,1
325,1,104,2,1,2,2,2,1,2,1,1,0,12,3
326,2,58,1,3,3,1,3,3,3,1,2,0,9,2
327,2,58,3,7,2,1,2,1,2,1,3,0,0,1
328,1,104,2,7,2,2,2,2,2,1,1,0,8,3
329,24,104,2,7,3,1,3,3,1,2,1,0,9,4
330,3,104,2,2,2,1,1,1,1,1,1,200,12,4
331,2,58,3,1,2,1,2,1,2,1,4,0,3,4
332,2,104,1,1,2,1,2,2,2,1,1,0,12,3
333,12,57,1,1,1,2,3,3,3,1,1,0,12,4
334,12,104,2,2,2,2,2,1,2,1,1,0,9,4
335,1,104,1,2,2,1,1,1,2,1,1,0,12,3
336,11,58,2,1,2,1,1,1,1,1,1,0,12,2
337,74,141,1,2,2,2,3,1,3,1,1,0,12,2
338,36,157,2,2,2,3,1,1,1,1,1,0,12,3
339,3,104,2,2,2,2,2,1,2,1,1,0,12,3
340,2,104,2,1,2,1,1,1,2,1,1,0,12,3
341,3,104,2,1,2,2,1,1,2,1,1,0,12,3
342,48,121,1,7,1,1,1,1,2,1,1,0,3,1
343,3,58,3,2,1,1,3,1,1,1,7,60,3,3
344,2,104,2,1,2,1,1,1,1,1,1,0,12,3
345,36,121,1,2,1,2,3,3,2,1,1,0,12,2
346,3,56,1,1,2,3,2,1,2,1,1,0,12,2
347,4,58,2,1,1,1,2,2,2,1,1,0,12,1
348,2,104,3,2,2,1,2,2,2,1,5,0,12,1
349,1,94,1,1,2,1,2,1,2,1,1,0,9,3
350,60,132,1,1,2,1,1,1,1,1,1,0,1,2
351,2,104,2,1,2,2,1,1,2,1,1,0,12,2
352,4,104,2,1,2,2,1,1,2,1,1,0,12,4
353,3,58,3,1,3,2,1,1,2,1,4,0,9,3
354,2,58,2,1,2,1,2,1,2,1,1,0,3,1
355,3,104,2,3,2,1,1,1,1,1,1,0,9,4
356,2,104,2,1,2,2,2,2,2,1,1,0,8,2
357,1,57,2,7,1,2,2,1,2,1,1,0,7,1
358,18,104,2,1,2,1,1,1,1,1,1,0,12,4
359,1,56,3,1,1,2,2,2,2,1,2,0,12,4
360,3,58,1,3,2,1,1,1,2,1,1,20,12,2
361,6,57,1,6,2,2,1,1,1,1,1,120,12,2
362,6,156,3,3,3,2,3,3,3,1,2,0,12,2
363,2,104,1,1,2,1,1,1,2,1,1,0,12,2
364,24,104,2,2,2,1,3,3,3,1,1,0,0,3
365,6,58,1,1,2,1,3,3,3,1,1,0,3,4
366,2,104,2,2,2,2,2,1,2,1,1,0,12,2
367,48,141,1,1,1,2,1,1,2,1,1,0,3,1
368,2,104,1,2,2,1,2,2,2,1,1,1,0,1
369,3,58,2,6,2,1,2,1,2,1,1,0,0,2
370,1,58,3,1,2,1,2,1,2,1,4,0,7,1
371,53,104,1,7,2,2,1,3,3,1,1,0,12,4
372,1,6,1,1,1,1,2,2,2,1,1,0,10,4
373,7,56,1,1,2,2,1,1,1,1,1,0,12,4
374,4,58,2,1,1,1,2,2,2,1,1,0,3,2
375,1,104,1,2,2,2,2,1,2,1,1,0,12,2
376,1,58,1,1,2,1,2,1,2,1,1,0,3,2
377,2,104,3,1,1,1,2,1,2,1,2,0,3,2
378,48,104,1,2,2,1,3,3,3,1,1,0,12,4
379,1,104,3,1,2,1,3,3,3,1,2,0,9,4
380,2,23,2,6,1,1,2,2,2,1,1,0,3,1
381,1,55,1,1,2,1,3,3,2,1,1,0,12,2
382,48,141,3,2,1,3,1,1,2,2,2,300,0,2
383,1,58,3,1,1,1,2,2,2,1,4,0,12,2
384,3,58,2,5,2,1,1,1,1,1,1,100,12,4
385,7,21,2,2,3,2,1,1,2,1,1,0,12,1
386,3,104,1,1,2,1,1,1,2,1,1,0,12,4
387,1,104,2,1,2,1,1,1,2,1,1,0,12,2
388,3,58,2,7,1,1,2,2,2,1,1,0,9,3
389,3,58,2,1,2,1,2,2,2,1,1,0,12,2
390,12,104,1,1,2,2,3,3,1,1,1,150,6,4
391,2,175,2,2,2,1,1,1,2,1,1,0,12,3
392,2,104,2,1,1,1,2,2,2,1,5,0,12,2
393,3,87,2,1,1,2,3,1,2,1,1,0,12,4
394,25,132,1,6,2,3,1,1,2,1,1,100,12,1
395,14,58,2,2,2,1,3,3,3,1,1,0,12,1
396,1,104,3,1,3,2,2,1,2,1,12,0,12,2
397,1,104,2,2,2,2,1,1,2,1,1,0,12,3
398,1,58,2,2,1,1,3,3,2,1,1,30,12,4
399,10,94,2,1,2,2,1,1,2,1,1,0,12,1
400,7,58,1,6,2,1,2,1,2,1,2,0,12,4
401,2,58,2,1,1,1,2,2,2,1,2,0,12,4
402,1,104,2,1,2,2,2,2,2,1,1,0,3,1
403,12,57,2,1,2,2,1,1,1,1,1,150,12,1
404,84,76,1,2,2,2,1,1,1,2,1,0,12,4
405,3,58,1,3,2,1,2,2,2,1,1,0,3,1
406,6,104,2,1,2,2,2,1,2,1,1,0,12,4
407,4,58,1,1,1,1,1,1,2,1,2,40,3,4
408,8,104,1,2,2,1,1,1,2,1,1,0,3,2
409,1,58,2,1,2,1,2,2,2,1,3,0,3,3
410,1,58,2,1,2,1,2,1,2,1,1,0,12,0
411,18,57,2,5,2,1,2,2,2,1,1,0,3,0
412,2,58,2,1,1,1,2,2,2,1,1,0,12,4
413,36,58,2,1,2,2,2,2,1,1,1,0,3,4
414,2,104,2,2,2,2,3,3,2,1,1,0,12,3
415,6,104,3,1,2,2,1,3,3,1,2,0,12,4
416,2,58,1,2,1,1,2,2,2,1,1,0,12,3
417,1,104,2,1,3,1,2,2,2,1,1,50,3,1
418,18,58,1,4,2,1,1,1,1,1,1,0,3,4
419,4,138,1,1,3,2,2,1,2,1,1,0,12,2
420,6,58,1,1,2,1,2,2,2,1,2,0,12,4
421,2,104,1,1,2,1,2,1,2,1,1,0,8,2
422,4,152,2,1,2,1,3,1,3,1,4,0,3,3
423,2,104,2,1,2,2,2,1,2,1,1,0,12,3
424,1,104,1,1,2,2,2,2,2,1,1,0,9,3
425,2,104,1,1,2,1,1,1,2,1,1,0,12,3
426,8,104,1,2,2,1,2,2,2,1,1,0,8,2
427,1,58,3,2,2,2,1,1,2,1,20,0,3,4
428,3,156,1,3,1,1,3,3,3,1,1,0,12,4
429,3,58,1,5,2,1,1,1,2,1,1,0,3,1
430,3,56,1,1,2,3,1,1,2,1,1,100,12,2
431,4,156,3,4,2,2,2,2,2,1,2,0,0,3
432,12,58,2,2,1,1,2,2,2,1,1,0,12,2
433,0,58,3,1,2,2,2,2,2,1,4,0,12,1
434,72,73,2,1,3,3,1,1,2,1,1,0,8,1
435,1,57,3,2,1,2,2,2,2,1,2,0,12,1
436,1,104,3,1,2,1,3,3,3,1,5,0,12,1
437,3,156,2,1,1,1,1,1,2,1,1,0,12,4
438,12,57,3,1,2,2,3,3,3,1,4,0,12,4
439,2,104,2,2,2,2,1,1,2,1,1,0,12,3
440,2,104,1,1,2,1,3,3,2,1,1,0,12,1
441,4,104,2,2,2,2,3,1,3,1,1,0,12,4
442,3,104,1,2,2,1,1,1,1,1,1,0,12,1
443,4,104,1,1,2,1,2,2,2,1,1,0,3,1
444,3,58,2,1,1,1,3,3,3,1,1,0,3,4
445,4,58,1,1,2,1,1,1,1,2,1,0,12,3
446,12,156,1,3,2,1,2,1,1,1,1,100,3,2
447,36,157,1,1,2,2,1,1,1,1,1,0,12,1
448,2,116,2,1,2,3,2,1,2,1,1,100,12,1
449,4,104,2,7,2,1,1,1,2,1,1,0,12,1
450,5,49,1,1,1,2,1,1,2,1,1,0,12,1
451,12,57,2,1,2,2,2,1,2,1,1,0,3,3
452,5,58,1,1,2,1,3,3,3,1,1,0,12,1
453,2,104,2,1,2,1,2,2,2,1,1,0,3,1
454,48,117,2,2,2,1,2,2,2,1,1,0,12,4
455,5,104,2,2,2,2,1,1,2,1,1,0,12,4
456,2,104,2,2,2,1,2,1,2,1,4,0,8,3
457,5,104,2,2,1,1,3,3,3,1,1,0,12,4
458,4,58,2,2,1,1,3,1,2,1,1,0,3,2
459,2,20,3,1,2,2,2,2,2,1,6,0,3,1
460,3,104,2,2,2,2,2,2,2,1,1,0,12,4
